sale_id,customer_id,sale_date,amount
1,2,1/4/2025 12:45:00,232562.00
2,3,1/5/2025 14:00:00,473272.00
3,7,1/13/2025 13:01:00,280980.00
4,15,1/12/2025 14:52:00,500904.00
5,17,1/8/2025 8:16:00,247848.00
6,19,1/4/2025 23:58:00,399207.00
7,20,1/4/2025 17:19:00,237885.00
8,28,1/1/2025 11:54:00,283363.00
9,31,1/8/2025 16:46:00,278547.00
10,33,1/7/2025 13:18:00,288415.00
11,39,1/9/2025 9:16:00,398378.00
12,40,1/9/2025 5:34:00,353698.00
13,42,1/9/2025 8:25:00,509724.00
14,43,1/8/2025 13:08:00,334654.00
15,44,1/5/2025 11:11:00,446341.00
16,57,1/14/2025 15:20:00,297966.00
17,59,1/2/2025 17:52:00,509840.00
18,62,1/8/2025 15:38:00,472125.00
19,63,1/13/2025 16:08:00,298326.00
20,64,1/8/2025 11:11:00,388543.00
21,66,1/10/2025 3:10:00,520649.00
22,69,1/11/2025 15:23:00,293250.00
23,72,1/4/2025 13:59:00,312479.00
24,76,1/6/2025 9:57:00,352737.00
25,81,1/7/2025 12:18:00,475474.00
26,84,1/2/2025 9:55:00,227968.00
27,87,1/3/2025 20:38:00,481033.00
28,91,1/4/2025 19:35:00,507187.00
29,94,1/7/2025 8:32:00,242228.00
30,101,1/5/2025 16:44:00,491646.00
31,103,1/8/2025 8:54:00,393803.00
32,104,1/11/2025 12:20:00,465743.00
33,116,1/14/2025 14:49:00,502412.00
34,117,1/5/2025 13:58:00,452733.00
35,134,1/9/2025 9:21:00,226326.00
36,138,1/9/2025 14:36:00,336537.00
37,141,1/8/2025 17:11:00,413145.00
38,142,1/6/2025 15:17:00,434615.00
39,151,1/9/2025 10:44:00,381553.00
40,156,1/11/2025 9:11:00,280602.00
41,160,1/7/2025 11:51:00,370095.00
42,161,1/4/2025 15:23:00,466824.00
43,163,1/6/2025 9:13:00,353433.00
44,167,1/18/2025 9:23:00,353608.00
45,172,1/9/2025 13:21:00,378528.00
46,176,1/2/2025 17:24:00,379053.00
47,184,1/9/2025 17:44:00,262518.00
48,198,1/7/2025 12:33:00,352270.00
49,199,1/7/2025 8:24:00,471236.00
50,201,1/6/2025 13:40:00,328632.00
51,203,1/8/2025 9:00:00,486105.00
52,206,1/6/2025 16:21:00,458835.00
53,208,1/5/2025 6:20:00,477021.00
54,211,1/11/2025 14:24:00,258110.00
55,218,1/4/2025 13:22:00,327781.00
56,223,1/6/2025 9:53:00,413138.00
57,224,1/6/2025 12:40:00,293951.00
58,226,1/7/2025 9:02:00,278589.00
59,232,1/6/2025 6:24:00,385257.00
60,233,1/9/2025 16:24:00,486482.00
61,237,1/7/2025 12:03:00,245001.00
62,239,1/6/2025 10:32:00,421407.00
63,242,1/6/2025 14:07:00,287169.00
64,244,1/6/2025 16:32:00,367114.00
65,245,1/13/2025 17:12:00,353129.00
66,246,1/8/2025 11:22:00,385042.00
67,247,1/6/2025 17:29:00,325012.00
68,254,1/14/2025 16:05:00,438603.00
69,258,1/2/2025 17:02:00,387853.00
70,260,1/7/2025 6:50:00,368918.00
71,267,1/14/2025 9:51:00,418420.00
72,272,1/11/2025 11:45:00,260148.00
73,276,1/5/2025 14:24:00,469859.00
74,278,1/12/2025 13:38:00,322812.00
75,279,1/11/2025 13:43:00,424735.00
76,283,1/4/2025 13:21:00,318623.00
77,284,1/7/2025 16:08:00,358452.00
78,286,1/11/2025 14:58:00,291705.00
79,291,1/9/2025 14:59:00,383983.00
80,292,1/4/2025 17:27:00,287762.00
81,297,1/12/2025 17:44:00,410750.00
82,300,1/8/2025 23:59:00,306251.00
83,301,1/11/2025 17:56:00,447421.00
84,303,1/12/2025 10:32:00,234469.00
85,305,1/16/2025 12:07:00,510321.00
86,307,1/8/2025 16:47:00,297712.00
87,308,1/3/2025 21:14:00,425880.00
88,315,1/8/2025 12:18:00,326309.00
89,322,1/4/2025 9:57:00,495133.00
90,324,1/4/2025 9:08:00,238409.00
91,329,1/8/2025 1:56:00,409040.00
92,330,1/4/2025 5:01:00,469006.00
93,335,1/14/2025 13:42:00,382211.00
94,344,1/9/2025 9:57:00,272765.00
95,345,1/9/2025 11:34:00,395188.00
96,355,1/8/2025 13:54:00,321197.00
97,361,1/12/2025 13:29:00,291030.00
98,364,1/5/2025 14:59:00,345194.00
99,366,1/19/2025 21:45:00,308126.00
100,369,1/11/2025 17:52:00,310848.00
101,375,1/6/2025 7:30:00,447717.00
102,387,1/13/2025 5:42:00,519571.00
103,390,1/7/2025 17:50:00,376932.00
104,394,1/7/2025 12:55:00,246319.00
105,401,1/9/2025 17:54:00,437611.00
106,405,1/11/2025 10:06:00,495823.00
107,406,1/15/2025 14:11:00,250220.00
108,409,1/9/2025 12:52:00,443605.00
109,411,1/7/2025 13:51:00,326599.00
110,418,1/15/2025 14:57:00,351745.00
111,420,1/4/2025 13:56:00,246071.00
112,423,1/14/2025 3:31:00,367010.00
113,427,1/6/2025 10:28:00,232409.00
114,429,1/4/2025 15:00:00,252247.00
115,434,1/11/2025 11:08:00,310966.00
116,436,1/19/2025 12:59:00,317047.00
117,443,1/12/2025 10:36:00,336395.00
118,449,1/11/2025 18:09:00,282794.00
119,458,1/13/2025 18:44:00,481895.00
120,462,1/16/2025 8:18:00,349160.00
121,464,1/16/2025 9:56:00,314378.00
122,469,1/18/2025 13:03:00,358166.00
123,471,1/6/2025 14:50:00,415837.00
124,472,1/13/2025 11:19:00,485749.00
125,477,1/6/2025 6:48:00,331994.00
126,482,1/11/2025 12:52:00,227618.00
127,487,1/9/2025 15:47:00,267425.00
128,488,1/12/2025 17:04:00,347040.00
129,491,1/11/2025 10:20:00,340233.00
130,494,1/15/2025 11:02:00,375675.00
131,496,1/5/2025 14:02:00,438830.00
132,500,1/8/2025 10:08:00,262522.00
133,501,1/9/2025 16:12:00,458821.00
134,504,1/16/2025 20:23:00,361096.00
135,505,1/5/2025 5:51:00,338982.00
136,508,1/16/2025 10:56:00,366888.00
137,510,1/7/2025 17:42:00,497096.00
138,512,1/18/2025 14:05:00,347235.00
139,514,1/9/2025 16:59:00,470879.00
140,515,1/13/2025 11:06:00,267780.00
141,523,1/11/2025 11:20:00,302278.00
142,526,1/4/2025 14:39:00,275947.00
143,527,1/15/2025 8:38:00,280806.00
144,533,1/15/2025 17:21:00,346596.00
145,534,1/9/2025 8:31:00,433359.00
146,544,1/18/2025 18:14:00,404196.00
147,547,1/13/2025 12:25:00,324082.00
148,548,1/16/2025 10:42:00,402609.00
149,552,1/10/2025 5:26:00,250315.00
150,560,1/11/2025 13:12:00,366332.00
151,562,1/8/2025 13:52:00,250348.00
152,569,1/11/2025 15:24:00,495770.00
153,579,1/8/2025 15:11:00,329816.00
154,580,1/12/2025 12:31:00,386423.00
155,581,1/15/2025 17:20:00,507407.00
156,586,1/9/2025 16:26:00,468360.00
157,596,1/7/2025 16:16:00,326179.00
158,602,1/9/2025 10:41:00,396548.00
159,604,1/10/2025 19:52:00,362639.00
160,606,1/12/2025 13:16:00,412592.00
161,607,1/15/2025 16:00:00,492363.00
162,611,1/9/2025 14:32:00,351463.00
163,612,1/12/2025 12:11:00,521444.00
164,615,1/7/2025 12:58:00,449373.00
165,618,1/8/2025 10:06:00,348808.00
166,619,1/12/2025 20:33:00,412381.00
167,621,1/6/2025 16:31:00,405750.00
168,622,1/14/2025 11:51:00,306801.00
169,625,1/12/2025 12:09:00,223332.00
170,629,1/11/2025 13:08:00,325873.00
171,632,1/11/2025 9:00:00,399837.00
172,640,1/9/2025 12:53:00,464798.00
173,647,1/14/2025 20:50:00,237890.00
174,649,1/8/2025 16:10:00,223842.00
175,651,1/12/2025 15:10:00,394047.00
176,653,1/13/2025 11:31:00,274525.00
177,658,1/6/2025 11:25:00,281575.00
178,674,1/10/2025 8:03:00,369905.00
179,677,1/5/2025 14:53:00,229505.00
